Person,Frame,X,Y
29,1545,168,85
29,1560,180,91
29,1575,195,88
29,1590,203,89
29,1605,221,109
29,1620,230,113
29,1635,249,123
29,1650,263,136
29,1665,276,148
29,1680,295,178
29,1695,320,188
29,1710,318,212
29,1725,320,231
29,1740,333,280
29,1755,333,304
29,1770,354,344
29,1785,369,399
30,1575,176,99
30,1590,185,99
30,1605,194,122
30,1620,197,107
30,1635,215,119
30,1650,224,145
30,1665,191,131
30,1680,244,168
30,1710,269,210
30,1725,276,243
30,1740,283,276
30,1755,279,316
30,1770,266,372
30,1785,258,439
30,1800,361,440
31,1605,193,65
31,1620,214,80
31,1635,233,88
31,1650,249,99
31,1665,262,109
31,1680,280,122
31,1695,304,137
31,1710,330,148
31,1725,354,175
31,1740,386,195
31,1755,409,205
31,1770,451,232
31,1785,499,270
31,1800,515,305
31,1815,524,366
32,1635,175,112
32,1650,190,110
32,1665,217,135
32,1680,236,128
32,1695,259,160
32,1710,265,164
32,1725,237,184
32,1740,284,205
32,1755,295,218
32,1770,321,252
32,1785,341,285
32,1800,364,338
32,1815,387,383
33,1680,182,132
33,1695,191,149
33,1710,204,173
33,1725,206,191
33,1740,217,212
33,1755,225,226
33,1770,241,245
33,1785,251,280
33,1800,264,314
33,1815,260,361
34,1695,221,143
34,1710,229,163
34,1740,315,198
34,1755,259,222
34,1770,265,243
34,1785,287,280
34,1800,302,315
34,1815,321,351
35,1695,395,74
35,1710,353,81
35,1725,316,94
35,1740,306,118
35,1755,329,129
35,1770,360,157
35,1785,408,172
35,1800,461,198
35,1815,526,229
36,1695,316,16
36,1710,297,31
36,1725,278,37
36,1740,268,56
36,1755,259,72
36,1770,253,88
36,1785,265,120
36,1800,280,142
36,1815,305,182
37,1725,292,82
37,1740,277,114
37,1755,289,137
37,1770,320,160
37,1785,374,191
37,1800,417,211
37,1815,477,244
