Enter,7.8300775
Enter,19.8560752
Enter,21.554934
Exit,24.1471789
Exit,24.4560186
Exit,25.1789182
Enter,32.9306445
Enter,54.9074275
Enter,56.3267296
Enter,61.4980824
Enter,66.3086272
Enter,81.757732
Enter,82.6511004
Enter,85.2601787
Enter,88.6383508
Enter,88.9744265
Exit,96.2174301
Enter,96.9625039
Exit,104.6751804
Enter,114.2628069
Enter,125.9702877
Enter,126.2631041
Enter,126.7322118
Enter,129.375897
Enter,129.7412903
Enter,130.1991899
Enter,130.6363431
Enter,130.9949946
Enter,131.4128286
Enter,131.7381333
Enter,132.6025345
Enter,142.1099046
Enter,142.8825488
Enter,143.3495027
Enter,146.9366101
Enter,147.6188064
Enter,148.3504843
Enter,155.9097524
Exit,159.214443
Enter,171.1237697
Enter,176.934697
Enter,177.5382675
Exit,180.7169662
Exit,193.0902059
Enter,215.0658547
Enter,216.0201273
Enter,219.7426073
Enter,220.0524343
Enter,220.766537
Enter,222.7927599
Enter,223.0404261
Enter,223.3980366
Enter,224.684903
Enter,225.0123328
Enter,245.2535498
Exit,247.7684203
Exit,248.1016068
Enter,249.9619615
Exit,251.0711896
Exit,251.3386019
Exit,252.0493801
Exit,252.7375842
Enter,265.4367918
Enter,265.8543848
Enter,266.8680682
Enter,272.1185577
Enter,272.6278875
Enter,273.0352245
Enter,273.5124076
Enter,283.0760215
Enter,288.6554182
Enter,289.0701633
Enter,289.4043487
Enter,289.8157848
